IdProxCurso;NomCurso;FechaInicio;FechaFin;HoraInicio;HoraFin;TituloComercial;Observaciones;CodCurso;Visible;Formulario;Duracion;CursoInem;IdCurso;Sala;Cliente;ObvVisible;Docente;InscripcionActiva;TipFormId;Online;IdCatProximosCursos
1;PROGRAMACIÓN PARA PDAs;;;;;PROGRAMACIÓN PARA PDAs;;EMIN3004;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
2;SEGURIDAD DE LA INFORMACIÓN;;;;;SEGURIDAD DE LA INFORMACIÓN;;ER523;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
3;GESTIÓN Y DESARROLLO DE APLICACIONES WIRELESS;;;;;GESTIÓN Y DESARROLLO DE APLICACIONES WIRELESS;;CI03;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
4;SMS 2003;;;;;SMS 2003;;CI04;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
5;INTRODUCCIÓN A VISUAL BASIC .NET;;;;;INTRODUCCIÓN A VISUAL BASIC .NET;;CI05;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;28
6;GESTIÓN DE SISTEMAS CON PATROL;;;;;GESTIÓN DE SISTEMAS CON PATROL;;CI06;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
7;TÉCNICAS DE DESARROLLO ESTRUCTURADO;;;;;TÉCNICAS DE DESARROLLO ESTRUCTURADO;;CI07;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
8;UML – TÉCNICAS DE DESARROLLO ORIENTADAS A OBJETOS;;;;;UML – TÉCNICAS DE DESARROLLO ORIENTADAS A OBJETOS;;CI08;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;28
9;GESTIÓN DE PROYECTOS. ESTIMACIÓN MEDIANTE PUNTOS DE FUNCIÓN;;;;;GESTIÓN DE PROYECTOS. ESTIMACIÓN MEDIANTE PUNTOS DE FUNCIÓN;;CI09;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
10;MICROSOFT WINDOWS MILLENIUM;;;;;MICROSOFT WINDOWS MILLENIUM;;IU105;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
11;WINDOWS NT 4.0: WORKSTATION: USUARIO;;;;;WINDOWS NT 4.0: WORKSTATION: USUARIO;;IU106;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
12;WINDOWS 2000 PROFESSIONAL: USUARIO;;;;;WINDOWS 2000 PROFESSIONAL: USUARIO;;IU107;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
13;MICROSOFT WORD 97: INICIACIÓN;;;;;MICROSOFT WORD 97: INICIACIÓN;;IU200;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
14;MICROSOFT WORD 97: AVANZADO;;;;;MICROSOFT WORD 97: AVANZADO;;IU201;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
15;MICROSOFT WORD 2000: INICIACIÓN;;;;;MICROSOFT WORD 2000: INICIACIÓN;;IU202;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
16;MICROSOFT WORD 2000: AVANZADO;;;;;MICROSOFT WORD 2000: AVANZADO;;IU203;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
17;MICROSOFT WORD 2003: INICIACIÓN;;;;;MICROSOFT WORD 2003: INICIACIÓN;;IU204;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
18;MICROSOFT WORD 2003: AVANZADO;;;;;MICROSOFT WORD 2003: AVANZADO;;IU205;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
19;COREL WORDPERFECT 8: INICIACIÓN;;;;;COREL WORDPERFECT 8: INICIACIÓN;;IU206;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
20;COREL WORDPERFECT 8: AVANZADO;;;;;COREL WORDPERFECT 8: AVANZADO;;IU207;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
21;LOTUS WORDPRO MILENIUM: INICIACIÓN;;;;;LOTUS WORDPRO MILENIUM: INICIACIÓN;;IU208;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
22;LOTUS WORDPRO MILENIUM: AVANZADO;;;;;LOTUS WORDPRO MILENIUM: AVANZADO;;IU209;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
23;MICROSOFT EXCEL 97: INICIACIÓN;;;;;MICROSOFT EXCEL 97: INICIACIÓN;;IU300;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
24;MICROSOFT EXCEL 97: AVANZADO;;;;;MICROSOFT EXCEL 97: AVANZADO;;IU301;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
25;MICROSOFT EXCEL 2000: INICIACIÓN;;;;;MICROSOFT EXCEL 2000: INICIACIÓN;;IU302;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
26;MICROSOFT EXCEL 2000: AVANZADO;;;;;MICROSOFT EXCEL 2000: AVANZADO;;IU303;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
27;MICROSOFT EXCEL 2003: INICIACIÓN;;;;;MICROSOFT EXCEL 2003: INICIACIÓN;;IU304;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
28;MICROSOFT EXCEL 2003: AVANZADO;;;;;MICROSOFT EXCEL 2003: AVANZADO;;IU305;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
29;LOTUS 1-2-3 MILENIUM: INICIACIÓN;;;;;LOTUS 1-2-3 MILENIUM: INICIACIÓN;;IU306;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
30;LOTUS 1-2-3 MILENIUM: AVANZADO;;;;;LOTUS 1-2-3 MILENIUM: AVANZADO;;IU307;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
31;COREL QUATTRO PRO 8: INICIACIÓN;;;;;COREL QUATTRO PRO 8: INICIACIÓN;;IU308;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
32;MICROSOFT POWERPOINT 97;;;;;MICROSOFT POWERPOINT 97;;IU400;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
33;MICROSOFT POWERPOINT 2000;;;;;MICROSOFT POWERPOINT 2000;;IU401;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
34;MICROSOFT POWERPOINT 2003;;;;;MICROSOFT POWERPOINT 2003;;IU402;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
35;MICROSOFT VISIO 2000;;;;;MICROSOFT VISIO 2000;;IU403;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
36;MICROSOFT VISIO 2003;;;;;MICROSOFT VISIO 2003;;IU404;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
37;HARVARD GRAPHICS 98;;;;;HARVARD GRAPHICS 98;;IU405;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
38;LOTUS FREELANCE GRAPHICS MILENIUM;;;;;LOTUS FREELANCE GRAPHICS MILENIUM;;IU406;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
39;MICROGRAFX ABC FLOWCHARTER 7.0;;;;;MICROGRAFX ABC FLOWCHARTER 7.0;;IU407;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
40;MICROSOFT ACCESS 97: INICIACIÓN;;;;;MICROSOFT ACCESS 97: INICIACIÓN;;IU500;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
41;MICROSOFT ACCESS 97: AVANZADO Y MACROS;;;;;MICROSOFT ACCESS 97: AVANZADO Y MACROS;;IU501;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
42;MICROSOFT ACCESS 2000: INICIACIÓN;;;;;MICROSOFT ACCESS 2000: INICIACIÓN;;IU502;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
43;MICROSOFT ACCESS 2000: AVANZADO;;;;;MICROSOFT ACCESS 2000: AVANZADO;;IU503;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
44;MICROSOFT ACCESS 2003: INICIACIÓN;;;;;MICROSOFT ACCESS 2003: INICIACIÓN;;IU504;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
45;MICROSOFT ACCESS 2003: AVANZADO;;;;;MICROSOFT ACCESS 2003: AVANZADO;;IU505;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
46;LOTUS APPROACH MILENIUM: INICIACIÓN;;;;;LOTUS APPROACH MILENIUM: INICIACIÓN;;IU506;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
47;CLARIS FILEMAKER PRO 4.0: INICIACIÓN;;;;;CLARIS FILEMAKER PRO 4.0: INICIACIÓN;;IU507;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
48;BORLAND VISUAL DBASE 7: INICIACIÓN;;;;;BORLAND VISUAL DBASE 7: INICIACIÓN;;IU508;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
49;ACCESO A INTERNET;;;;;ACCESO A INTERNET;;IU600;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
50;MICROSOFT FRONTPAGE 98;;;;;MICROSOFT FRONTPAGE 98;;IU601;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
51;MICROSOFT FRONTPAGE 2000;;;;;MICROSOFT FRONTPAGE 2000;;IU602;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
52;MICROSOFT FRONTPAGE 2003;;;;;MICROSOFT FRONTPAGE 2003;;IU603;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
53;MICROSOFT OUTLOOK 97/98;;;;;MICROSOFT OUTLOOK 97/98;;IU604;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
54;MICROSOFT OUTLOOK 2000;;;;;MICROSOFT OUTLOOK 2000;;IU605;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
55;MICROSOFT OUTLOOK 2003;;;;;MICROSOFT OUTLOOK 2003;;IU606;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
56;MICROSOFT PROJECT 98;;;;;MICROSOFT PROJECT 98;;IU700;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
57;MICROSOFT PROJECT 2000;;;;;MICROSOFT PROJECT 2000;;IU701;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
58;MICROSOFT PROJECT 2003;;;;;MICROSOFT PROJECT 2003;;IU702;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;47
59;CA SUPERPROJECT 4.0;;;;;CA SUPERPROJECT 4.0;;IU703;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
60;LOTUS ORGANIZER 97;;;;;LOTUS ORGANIZER 97;;IU704;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
61;MICROSOFT OFFICE 97;;;;;MICROSOFT OFFICE 97;;IU800;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
62;MICROSOFT OFFICE 2000;;;;;MICROSOFT OFFICE 2000;;IU801;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
63;MICROSOFT OFFICE 2003;;;;;MICROSOFT OFFICE 2003;;IU802;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;25
64;LOTUS SMARTSUITE MILLENNIUM;;;;;LOTUS SMARTSUITE MILLENNIUM;;IU803;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
65;COREL WORDPERFECT SUITE 8;;;;;COREL WORDPERFECT SUITE 8;;IU804;FALSO;Empresa;0;FALSO;0;;;;;FALSO;;FALSO;
